Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PM1_rep_1	Peptides PM1_rep_2	Peptides PM1_rep_3	Peptides PM2_rep_1	Peptides PM2_rep_2	Peptides PM2_rep_3	Razor + unique peptides PM1_rep_1	Razor + unique peptides PM1_rep_2	Razor + unique peptides PM1_rep_3	Razor + unique peptides PM2_rep_1	Razor + unique peptides PM2_rep_2	Razor + unique peptides PM2_rep_3	Unique peptides PM1_rep_1	Unique peptides PM1_rep_2	Unique peptides PM1_rep_3	Unique peptides PM2_rep_1	Unique peptides PM2_rep_2	Unique peptides PM2_rep_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type PM1_rep_1	Identification type PM1_rep_2	Identification type PM1_rep_3	Identification type PM2_rep_1	Identification type PM2_rep_2	Identification type PM2_rep_3	Sequence coverage PM1_rep_1 [%]	Sequence coverage PM1_rep_2 [%]	Sequence coverage PM1_rep_3 [%]	Sequence coverage PM2_rep_1 [%]	Sequence coverage PM2_rep_2 [%]	Sequence coverage PM2_rep_3 [%]	Intensity	Intensity PM1_rep_1	Intensity PM1_rep_2	Intensity PM1_rep_3	Intensity PM2_rep_1	Intensity PM2_rep_2	Intensity PM2_rep_3	LFQ intensity MME rep_1	LFQ intensity MME rep_2	LFQ intensity MME rep_3	LFQ intensity PME rep_1	LFQ intensity PME rep_2	LFQ intensity PME rep_3	MS/MS count PM1_rep_1	MS/MS count PM1_rep_2	MS/MS count PM1_rep_3	MS/MS count PM2_rep_1	MS/MS count PM2_rep_2	MS/MS count PM2_rep_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
LOC_Os10g29620.1	LOC_Os10g29620.1	4	4	3	"LOC_Os10g29620.1 LOC_Os10g29620.1|13110.m02536|protein tyrosine protein kinase domain containing protein, putative, expressed"	1	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	14.7	14.7	12.6	41.426	380	380	0	16.291	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.8	10.8	10.8	10.5	10.5	10.5	853010000	164430000	183470000	177580000	155880000	78936000	92720000	166700000	171980000	165710000	72243000	52167000	54778000	3	3	3	4	2	2	17				3529	2410;3910;9733;9757	True;True;True;True	2558;4146;10279;10305	14631;14632;14633;23515;23516;23517;58167;58168;58169;58170;58171;58172;58345;58346;58347;58348;58349;58350;58351;58352;58353;58354;58355;58356	10806;17505;42903;42904;42905;42906;42907;42908;43044;43045;43046;43047;43048;43049;43050;43051;43052	10806;17505;42903;43051		
LOC_Os10g30156.1	LOC_Os10g30156.1	3	3	2	"LOC_Os10g30156.1 LOC_Os10g30156.1|13110.m02590|protein starch synthase, putative, expressed"	1	3	3	2	3	1	2	1	2	2	3	1	2	1	2	2	2	1	2	0	1	1	4.3	4.3	2.5	83.311	749	749	0	3.4594	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	4.3	0.9	2.5	1.7	2.7	2.7	169960000	53919000	7822400	18555000	27662000	27213000	34790000	33486000	0	38072000	0	0	0	1	0	1	1	0	0	3				3530	3626;11289;13873	True;True;True	3841;12076;14812	21831;21832;21833;21834;21835;68313;68314;84537;84538;84539;84540	16229;50555;62885	16229;50555;62885		
LOC_Os10g30580.1;LOC_Os10g30580.2	LOC_Os10g30580.1	20;4	2;2	2;2	"LOC_Os10g30580.1 LOC_Os10g30580.1|13110.m02634|protein cell division control protein 48 homolog E, putative, expressed"	2	20	2	2	17	18	18	16	15	15	1	2	2	0	0	0	1	2	2	0	0	0	28.6	2.7	2.7	89.81	808	808;195	0	4.1193	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	22.2	24	24	25.9	25.5	25.5	77724000	9974700	59396000	8352700	0	0	0	0	56333000	0	0	0	0	1	1	1	0	0	0	3				3531	2865;3155;3431;3432;3715;3763;4048;4049;4365;5285;5540;5889;7584;7796;8360;8411;10749;12679;15311;16733	False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False	3055;3355;3643;3644;3932;3981;4291;4292;4624;5590;5864;6235;8017;8018;8238;8836;8891;11488;13557;16356;17857	17499;17500;17501;17502;17503;17504;19185;19186;19187;19188;19189;19190;20723;20724;20725;20726;20727;20728;20729;20730;20731;22342;22343;22344;22345;22346;22347;22348;22349;22350;22615;22616;22617;22618;22619;22620;22621;24338;24339;24340;24341;24342;24343;24344;24345;24346;24347;24348;24349;26177;26178;26179;26180;31433;31434;31435;33158;33159;33160;33161;33162;33163;35375;35376;35377;45549;45550;45551;45552;45553;45554;45555;45556;45557;46740;46741;46742;46743;46744;46745;50324;50325;50326;50624;50625;65076;65077;65078;65079;65080;65081;77016;77017;77018;93540;93541;93542;93543;93544;93545;102435;102436;102437;102438;102439;102440	12991;12992;12993;12994;12995;14327;14328;15404;15405;15406;15407;15408;15409;15410;15411;16629;16630;16631;16632;16633;16634;16842;16843;16844;16845;16846;16847;18110;18111;18112;18113;18114;18115;18116;18117;18118;18119;18120;19420;23279;24603;24604;24605;24606;24607;24608;26254;26255;26256;33937;33938;33939;33940;34807;34808;34809;37424;37632;37633;48153;48154;57028;69817;69818;69819;76748;76749;76750;76751;76752	12995;14328;15404;15410;16630;16842;18112;18118;19420;23279;24605;26256;33939;34808;37424;37632;48154;57028;69818;76749	473;474	338;556
LOC_Os10g30750.1	LOC_Os10g30750.1	1	1	1	"LOC_Os10g30750.1 LOC_Os10g30750.1|13110.m02653|protein appr-1-p processing enzyme family protein, putative, expressed"	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	3	3	3	64.826	594	594	0.00029638	2.7381	By MS/MS	By MS/MS	By MS/MS				3	3	3	0	0	0	135840000	44298000	45802000	45744000	0	0	0	0	0	43486000	0	0	0	1	1	1	0	0	0	3				3532	241	TRUE	257	1463;1464;1465	1072;1073;1074	1073		
LOC_Os10g30790.2;LOC_Os10g30790.1	LOC_Os10g30790.2;LOC_Os10g30790.1	1;1	1;1	1;1	"LOC_Os10g30790.2 LOC_Os10g30790.2|13110.m02657|protein inorganic phosphate transporter, putative, expressed;LOC_Os10g30790.1 LOC_Os10g30790.1|13110.m02656|protein inorganic phosphate transporter, putative, expressed"	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.8	1.8	1.8	59.112	541	541;541	0.0055205	1.8229	By matching	By MS/MS	By matching	By matching	By matching	By matching	1.8	1.8	1.8	1.8	1.8	1.8	69204000	17454000	13042000	14793000	7488500	5646400	10780000	0	0	0	0	0	7045300	0	1	0	0	0	0	1				3533	11192	TRUE	11972	67705;67706;67707;67708;67709;67710	50111	50111		
LOC_Os10g30860.1	LOC_Os10g30860.1	2	2	2	"LOC_Os10g30860.1 LOC_Os10g30860.1|13110.m02666|protein nicotiana lesion-inducing like, putative, expressed"	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	8.8	8.8	8.8	22.938	215	215	0	35.308	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.1	8.8	8.8	8.8	8.8	8.8	740940000	109800000	121290000	123720000	143320000	120330000	122480000	0	103350000	107220000	102300000	87094000	0	1	1	1	1	1	2	7				3534	4730;5305	True;True	5011;5611	28295;28296;28297;28298;28299;28300;31551;31552;31553;31554;31555	20930;20931;20932;20933;20934;20935;23383;23384	20933;23384		
LOC_Os10g30870.1	LOC_Os10g30870.1	10	10	10	LOC_Os10g30870.1 LOC_Os10g30870.1|13110.m02667|protein expressed protein	1	10	10	10	10	9	10	9	10	10	10	9	10	9	10	10	10	9	10	9	10	10	28.4	28.4	28.4	51.559	469	469	0	167.8	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.4	24.9	28.4	24.9	28.4	28.4	3099500000	460210000	522870000	621960000	478000000	451180000	565280000	496130000	538400000	546980000	326080000	281690000	317380000	7	6	7	6	7	6	39				3535	126;127;1007;2656;2772;3069;4159;5147;13696;16442	True;True;True;True;True;True;True;True;True;True	136;137;1062;2831;2956;3266;4408;5443;14623;17556	810;811;812;813;814;815;816;817;818;819;820;821;6108;6109;6110;6111;6112;6113;16163;16164;16165;16166;16167;16168;16938;16939;16940;16941;18654;18655;18656;18657;18658;18659;24982;24983;24984;24985;24986;24987;30633;30634;30635;30636;30637;30638;83161;83162;83163;83164;83165;83166;100821;100822;100823;100824;100825;100826;100827;100828;100829;100830;100831	609;610;611;612;613;614;615;616;617;4534;4535;4536;4537;4538;11963;12570;12571;12572;12573;13901;13902;13903;13904;13905;13906;18568;18569;18570;18571;18572;18573;22702;22703;22704;61712;75545;75546;75547;75548	611;613;4537;11963;12570;13905;18572;22704;61712;75548		
LOC_Os10g31770.1	LOC_Os10g31770.1	1	1	1	"LOC_Os10g31770.1 LOC_Os10g31770.1|13110.m02767|protein START domain containing protein, expressed"	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	2.5	2.5	2.5	82.874	725	725	0.00058072	2.5983	By MS/MS		By MS/MS				2.5	0	2.5	0	0	0	23952000	11016000	0	12937000	0	0	0	0	0	12298000	0	0	0	1	0	1	0	0	0	2				3536	3818	TRUE	4051	23036;23037	17149;17150	17150		
LOC_Os10g31780.1	LOC_Os10g31780.1	1	1	1	"LOC_Os10g31780.1 LOC_Os10g31780.1|13110.m02768|protein oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed"	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	5	5	5	26.693	261	261	0.00030003	2.8379	By MS/MS	By matching					5	5	0	0	0	0	27418000	9856900	17561000	0	0	0	0	0	16656000	0	0	0	0	1	0	0	0	0	0	1				3537	186	TRUE	200	1162;1163	843	843		
LOC_Os10g31790.2;LOC_Os10g31790.1	LOC_Os10g31790.2;LOC_Os10g31790.1	1;1	1;1	1;1	"LOC_Os10g31790.2 LOC_Os10g31790.2|13110.m02770|protein ubiquitin family protein, putative, expressed;LOC_Os10g31790.1 LOC_Os10g31790.1|13110.m02771|protein ubiquitin family protein, putative, expressed"	2	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	4.8	4.8	4.8	34.02	310	310;378	0.00030175	2.8785	By MS/MS	By MS/MS	By MS/MS				4.8	4.8	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3				3538	10157	TRUE	10721	60837;60838;60839	45011;45012;45013	45013		
LOC_Os10g31820.1;LOC_Os10g31820.2	LOC_Os10g31820.1;LOC_Os10g31820.2	8;7	8;7	8;7	"LOC_Os10g31820.1 LOC_Os10g31820.1|13110.m02775|protein fluG, putative, expressed;LOC_Os10g31820.2 LOC_Os10g31820.2|13110.m02774|protein fluG, putative, expressed"	2	8	8	8	7	8	8	6	7	8	7	8	8	6	7	8	7	8	8	6	7	8	14.9	14.9	14.9	93.717	845	845;822	0	29.675	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.8	14.9	14.9	9.8	11.8	14.9	785660000	99370000	129440000	127230000	112270000	131890000	185470000	106020000	112380000	122300000	86539000	91020000	101130000	3	4	4	2	3	4	20				3539	89;183;2540;3665;9382;12610;12976;15414	True;True;True;True;True;True;True;True	98;197;2694;3882;9914;13483;13865;16469	605;606;607;1146;1147;1148;1149;1150;15445;15446;15447;15448;15449;15450;22064;22065;22066;22067;22068;22069;56292;56293;56294;56295;56296;56297;76650;76651;76652;76653;76654;76655;78704;78705;78706;78707;78708;78709;94216;94217;94218;94219;94220;94221	476;837;11411;11412;11413;11414;11415;16436;41644;41645;41646;56768;56769;56770;56771;58256;58257;58258;58259;58260;70312	476;837;11415;16436;41644;56769;58259;70312		
LOC_Os10g31950.1	LOC_Os10g31950.1	7	7	7	"LOC_Os10g31950.1 LOC_Os10g31950.1|13110.m02792|protein 3-ketoacyl-CoA thiolase, peroxisomal precursor, putative, expressed"	1	7	7	7	6	6	6	5	5	6	6	6	6	5	5	6	6	6	6	5	5	6	28.6	28.6	28.6	48.025	461	461	0	41.649	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	24.9	24.9	24.9	20.8	20.6	26.2	755540000	114660000	155370000	162500000	102950000	78504000	141550000	136030000	143270000	139750000	70456000	66226000	68399000	5	4	6	0	0	1	16				3540	2306;5146;5373;5732;9451;12489;13860	True;True;True;True;True;True;True	2451;5442;5684;6067;9985;13355;14799	13996;13997;13998;13999;14000;14001;30630;30631;30632;31977;31978;31979;34456;34457;34458;34459;34460;34461;56638;56639;56640;56641;56642;56643;75963;75964;75965;75966;75967;84455;84456;84457;84458;84459	10338;10339;10340;22700;22701;23703;25573;25574;25575;41871;41872;41873;56323;56324;56325;62815;62816	10339;22701;23703;25575;41873;56324;62815		
LOC_Os10g32300.1;LOC_Os08g25890.1;LOC_Os10g32348.1	LOC_Os10g32300.1	6;1;1	6;1;1	6;1;1	"LOC_Os10g32300.1 LOC_Os10g32300.1|13110.m19361|protein tetratricopeptide repeat domain containing protein, expressed"	3	6	6	6	3	3	3	5	6	6	3	3	3	5	6	6	3	3	3	5	6	6	21.7	21.7	21.7	40.511	364	364;129;280	0	108.89	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.8	11.8	11.8	21.7	21.7	21.7	4281800000	47060000	44934000	49507000	1399300000	1481900000	1259100000	57597000	58523000	65108000	865130000	879120000	854480000	0	0	1	9	10	8	28				3541	531;532;1743;1744;12562;16152	True;True;True;True;True;True	551;552;1857;1858;13434;17253	3048;3049;3050;3051;3052;3053;3054;3055;10666;10667;10668;10669;10670;10671;10672;10673;10674;10675;10676;10677;10678;10679;10680;10681;10682;76406;76407;76408;76409;99032;99033;99034;99035;99036;99037;99038;99039;99040	2294;2295;2296;2297;2298;2299;2300;7903;7904;7905;7906;7907;7908;7909;7910;7911;7912;56620;56621;56622;56623;56624;74134;74135;74136;74137;74138;74139	2295;2296;7905;7911;56620;74137		
LOC_Os10g32540.1	LOC_Os10g32540.1	4	4	4	"LOC_Os10g32540.1 LOC_Os10g32540.1|13110.m02842|protein SAP domain containing protein, expressed"	1	4	4	4	2	3	3	3	3	4	2	3	3	3	3	4	2	3	3	3	3	4	7.8	7.8	7.8	100.14	898	898	0	7.3896	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.8	5.5	5.5	5.5	5.5	7.8	204820000	15139000	23029000	20036000	49255000	35043000	62314000	0	19130000	20455000	33851000	26913000	34734000	0	1	1	1	1	2	6				3542	62;12204;13785;16541	True;True;True;True	70;13048;14720;17659	425;426;427;428;429;74203;83940;83941;83942;83943;83944;83945;101368;101369;101370;101371;101372;101373	344;345;346;54969;62406;75935	345;54969;62406;75935		
LOC_Os10g32550.1	LOC_Os10g32550.1	13	13	7	"LOC_Os10g32550.1 LOC_Os10g32550.1|13110.m02843|protein T-complex protein, putative, expressed"	1	13	13	7	9	10	9	11	11	11	9	10	9	11	11	11	5	5	5	6	5	6	28.9	28.9	18.9	67.307	634	634	0	72.606	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18	19.9	18	24.8	21.1	25.4	2994600000	388270000	398150000	507710000	590100000	532570000	577770000	396630000	384600000	401810000	410740000	329940000	368910000	5	8	6	10	9	11	49				3543	3379;3448;3585;5569;6171;6306;6919;7695;9111;11275;13406;14236;15205	True;True;True;True;True;True;True;True;True;True;True;True;True	3589;3661;3800;5896;5897;6527;6665;7307;8132;9620;12062;14315;15201;16241	20426;20427;20800;20801;21644;21645;21646;21647;21648;21649;33323;33324;33325;33326;33327;33328;37031;37032;37033;37034;37035;37036;37816;37817;37818;37819;37820;37821;41548;41549;41550;41551;41552;41553;46140;46141;54801;54802;54803;54804;54805;54806;68238;68239;68240;68241;68242;68243;81236;81237;81238;86807;86808;86809;86810;86811;86812;92885;92886;92887;92888;92889;92890	15197;15198;15455;15456;16093;16094;16095;16096;16097;16098;24714;24715;24716;24717;27472;27473;27474;27475;27476;27985;27986;27987;27988;27989;27990;30879;30880;30881;30882;34333;34334;40660;40661;40662;40663;40664;40665;50505;50506;50507;50508;50509;60145;60146;64675;64676;64677;69334;69335	15198;15456;16097;24715;27473;27987;30881;34333;40663;50505;60145;64675;69334	1266	213
LOC_Os10g32730.2;LOC_Os10g32730.1;LOC_Os10g14814.1	LOC_Os10g32730.2;LOC_Os10g32730.1;LOC_Os10g14814.1	2;2;1	2;2;1	2;2;1	"LOC_Os10g32730.2 LOC_Os10g32730.2|13110.m02865|protein haloacid dehalogenase-like hydrolase domain-containing protein 1A, putative, expressed;LOC_Os10g32730.1 LOC_Os10g32730.1|13110.m02864|protein haloacid dehalogenase-like hydrolase domain-containing prot"	3	2	2	2	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	7.6	7.6	7.6	43.718	397	397;397;329	0.0042746	1.9475	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	2.3	7.6	2.3	7.6	7.6	2.3	197250000	9087200	25455000	11005000	70388000	67578000	13734000	0	0	0	0	43164000	0	0	0	1	1	0	0	2				3544	1098;13610	True;True	1159;14531	6666;6667;6668;6669;6670;6671;82568;82569;82570	4928;61190	4928;61190		
LOC_Os10g32820.1	LOC_Os10g32820.1	3	1	1	"LOC_Os10g32820.1 LOC_Os10g32820.1|13110.m02876|protein 60S ribosomal protein L21-2, putative, expressed"	1	3	1	1	2	2	2	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	26.2	19.5	19.5	18.72	164	164	0	9.3546	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	6.7	6.7	6.7	26.2	26.2	26.2	316610000	0	0	0	86749000	124830000	105030000	0	0	0	0	0	68642000	0	0	0	1	1	1	3				3545	6302;7823;12160	False;False;True	6661;8267;13001	37793;37794;37795;37796;37797;37798;46974;46975;46976;46977;46978;46979;73861;73862;73863	27969;27970;35027;35028;35029;54694;54695;54696	27969;35029;54695		
LOC_Os10g32880.1	LOC_Os10g32880.1	6	6	6	"LOC_Os10g32880.1 LOC_Os10g32880.1|13110.m19364|protein WD domain, G-beta repeat domain containing protein, expressed"	1	6	6	6	5	4	6	4	6	5	5	4	6	4	6	5	5	4	6	4	6	5	13.9	13.9	13.9	54.4	497	497	0	13.183	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.9	11.9	13.9	11.7	13.9	13.1	773820000	139580000	104440000	165900000	112510000	156830000	94560000	117990000	116940000	117830000	90622000	88356000	54858000	2	4	4	1	0	2	13				3546	528;2145;4976;6799;11934;14077	True;True;True;True;True;True	548;2283;5268;7184;12757;15024	3031;3032;3033;3034;3035;13003;13004;13005;29690;29691;29692;29693;29694;40744;40745;40746;40747;40748;40749;72454;72455;72456;72457;72458;72459;72460;72461;72462;85724;85725;85726;85727;85728	2290;9681;21976;21977;21978;21979;30207;30208;53638;53639;53640;53641;53642;53643;53644;63838	2290;9681;21978;30208;53640;63838		
LOC_Os10g32970.1	LOC_Os10g32970.1	3	3	3	"LOC_Os10g32970.1 LOC_Os10g32970.1|13110.m02896|protein eukaryotic translation initiation factor, putative, expressed"	1	3	3	3	0	1	0	2	1	2	0	1	0	2	1	2	0	1	0	2	1	2	22.8	22.8	22.8	23.199	206	206	0	6.6044		By MS/MS		By MS/MS	By MS/MS	By MS/MS	0	12.6	0	18	5.3	10.2	91489000	0	13122000	0	40308000	21006000	17053000	0	0	0	25439000	0	0	0	1	0	1	1	1	4				3547	497;11342;15843	True;True;True	517;12130;16928	2894;2895;68788;97055;97056;97057	2185;51029;72624;72625	2185;51029;72624		
LOC_Os10g33230.1	LOC_Os10g33230.1	1	1	1	"LOC_Os10g33230.1 LOC_Os10g33230.1|13110.m02918|protein RNA recognition motif containing protein, putative, expressed"	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	3.4	3.4	3.4	45.62	464	464	0	5.6466	By matching	By MS/MS	By MS/MS				3.4	3.4	3.4	0	0	0	86170000	32669000	26246000	27256000	0	0	0	0	0	25910000	0	0	0	0	1	1	0	0	0	2				3548	6840	TRUE	7226	41050;41051;41052	30480;30481	30480		
LOC_Os10g33630.2;LOC_Os10g33630.1	LOC_Os10g33630.2;LOC_Os10g33630.1	2;2	2;2	2;2	"LOC_Os10g33630.2 LOC_Os10g33630.2|13110.m02963|protein adaptin ear-binding coat-associated protein 2, putative, expressed;LOC_Os10g33630.1 LOC_Os10g33630.1|13110.m02962|protein adaptin ear-binding coat-associated protein 2, putative, expressed"	2	2	2	2	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0	9.1	9.1	9.1	30.524	287	287;287	0	9.1006	By matching	By matching	By MS/MS				4.9	4.9	9.1	0	0	0	23668000	6634700	9494600	7538700	0	0	0	0	0	7166600	0	0	0	0	0	2	0	0	0	2				3549	3023;13111	True;True	3219;14008	18414;79449;79450;79451	13707;58837	13707;58837		
LOC_Os10g33680.1	LOC_Os10g33680.1	6	6	6	"LOC_Os10g33680.1 LOC_Os10g33680.1|13110.m02971|protein serine/threonine-protein phosphatase 2A regulatory subunit B subunitbeta, putative, expressed"	1	6	6	6	6	5	5	5	4	5	6	5	5	5	4	5	6	5	5	5	4	5	14.8	14.8	14.8	61.904	541	541	0	60.616	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.8	13.5	10.9	13.5	12.2	13.5	781060000	88860000	78178000	99992000	191950000	143360000	178720000	70117000	70890000	113440000	128050000	90803000	114270000	4	3	3	5	6	6	27				3550	1975;3657;3839;6831;6843;7467	True;True;True;True;True;True	2105;3874;4073;7217;7229;7896	12067;12068;12069;12070;12071;12072;12073;12074;12075;12076;12077;12078;22031;22032;22033;22034;22035;23156;23157;23158;23159;23160;23161;41012;41013;41014;41063;41064;41065;41066;44892;44893;44894;44895;44896;44897	8987;8988;8989;8990;8991;8992;8993;8994;8995;8996;8997;8998;8999;16413;16414;16415;17235;17236;17237;17238;17239;17240;30455;30489;33428;33429;33430	8996;16413;17237;30455;30489;33429		
LOC_Os10g33770.1	LOC_Os10g33770.1	3	3	3	LOC_Os10g33770.1 LOC_Os10g33770.1|13110.m02984|protein importin-beta N-terminal domain containing protein	1	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5.9	5.9	5.9	104.16	929	929	0	16.584	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.7	3.7	3.7	4.4	4.4	3.7	160040000	17068000	9075000	19443000	41455000	44368000	28635000	17372000	0	18592000	0	0	18301000	1	2	2	2	1	1	9				3551	4645;7191;16346	True;True;True	4917;7609;17454	27821;27822;27823;27824;27825;27826;43300;43301;43302;43303;100169;100170	20576;20577;20578;20579;20580;20581;32248;32249;74978	20581;32248;74978		
LOC_Os10g33800.2;LOC_Os10g33800.1;LOC_Os10g33800.3	LOC_Os10g33800.2;LOC_Os10g33800.1;LOC_Os10g33800.3	6;6;5	6;6;5	6;6;5	"LOC_Os10g33800.2 LOC_Os10g33800.2|13110.m02990|protein lactate/malate dehydrogenase, putative, expressed;LOC_Os10g33800.1 LOC_Os10g33800.1|13110.m02989|protein lactate/malate dehydrogenase, putative, expressed;LOC_Os10g33800.3 LOC_Os10g33800.3|13110.m02991"	3	6	6	6	5	5	5	5	6	6	5	5	5	5	6	6	5	5	5	5	6	6	27.8	27.8	27.8	33.698	316	316;332;219	0	65.599	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25	25	25	25	27.8	27.8	3055200000	396490000	386220000	419230000	613350000	598600000	641330000	342250000	339830000	329220000	385720000	360570000	456090000	6	6	6	6	6	7	37				3552	3242;3757;9477;10397;10733;15401	True;True;True;True;True;True	3444;3975;10011;11001;11002;11468;16453	19627;19628;19629;19630;19631;19632;22572;22573;22574;22575;22576;22577;22578;22579;22580;22581;56763;56764;62175;62176;62177;62178;62179;62180;62181;62182;62183;62184;62185;62186;64932;64933;64934;64935;64936;64937;64938;64939;64940;64941;64942;64943;94088;94089;94090;94091;94092;94093	14628;14629;14630;14631;16807;16808;16809;16810;16811;16812;16813;16814;16815;41947;41948;45953;45954;45955;45956;45957;45958;45959;45960;45961;45962;45963;48041;48042;48043;48044;48045;48046;70188;70189;70190;70191;70192;70193	14629;16814;41948;45954;48046;70192	1267	56
LOC_Os10g33910.1	LOC_Os10g33910.1	2	2	2	"LOC_Os10g33910.1 LOC_Os10g33910.1|13110.m03005|protein mitochondrial import inner membrane translocase subunit Tim16, putative, expressed"	1	2	2	2	1	1	2	0	1	1	1	1	2	0	1	1	1	1	2	0	1	1	20.7	20.7	20.7	13.042	116	116	0	3.1871	By MS/MS	By matching	By MS/MS		By matching	By matching	6	6	20.7	0	6	6	126570000	28193000	24751000	37742000	0	17130000	18751000	0	0	35879000	0	0	0	1	0	2	0	0	0	3				3553	11650;16379	True;True	12454;17487	70604;100337;100338;100339;100340;100341	52301;75081;75082	52301;75082		
LOC_Os10g34030.1	LOC_Os10g34030.1	2	2	2	"LOC_Os10g34030.1 LOC_Os10g34030.1|13110.m03025|protein zinc finger, C3HC4 type domain containing protein, expressed"	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10.4	10.4	10.4	37.351	338	338	0	54.946	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.4	10.4	10.4	10.4	10.4	10.4	911830000	224580000	196430000	222270000	85172000	89408000	93966000	202090000	170780000	195980000	66053000	75397000	84165000	3	2	4	2	2	2	15				3554	12791;14312	True;True	13675;15281	77668;77669;77670;77671;77672;77673;77674;77675;77676;87252;87253;87254;87255;87256;87257;87258;87259;87260	57471;57472;57473;57474;57475;57476;57477;57478;57479;64975;64976;64977;64978;64979;64980	57477;64975		
LOC_Os10g34180.2;LOC_Os10g34180.1	LOC_Os10g34180.2;LOC_Os10g34180.1	2;2	2;2	2;2	"LOC_Os10g34180.2 LOC_Os10g34180.2|13110.m03041|protein transcription factor BTF3, putative, expressed;LOC_Os10g34180.1 LOC_Os10g34180.1|13110.m03040|protein transcription factor BTF3, putative, expressed"	2	2	2	2	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	2	2	29.3	29.3	29.3	17.635	164	164;164	0.00029797	2.7844					By MS/MS	By MS/MS	0	0	0	0	29.3	29.3	130020000	0	0	0	0	78549000	51472000	0	0	0	0	54631000	29180000	0	0	0	0	1	1	2				3555	9629;14998	True;True	10168;16017	57571;57572;91616;91617	42517;68389	42517;68389		
LOC_Os10g34370.1	LOC_Os10g34370.1	2	2	2	LOC_Os10g34370.1 LOC_Os10g34370.1|13110.m03058|protein expressed protein	1	2	2	2	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	6.5	6.5	6.5	46.24	428	428	0	8.3465	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	6.5	6.5	6.5	3.5	3.5	3.5	211900000	60476000	53609000	56259000	13220000	14126000	14213000	60386000	50516000	53901000	0	0	0	2	1	2	0	0	0	5				3556	859;1060	True;True	906;1118	5148;5149;5150;6428;6429;6430;6431;6432;6433	3827;3828;3829;4769;4770	3829;4770		
